,id,label,srcAddress,srcPort,destAddress,destPort,appProtocol
67,f9370b47-eb92-4626-ad65-55f6598fd532,疑似恶意流量,172.16.99.191,49163,10.185.159.32,443,tls
68,21d3e788-b5df-4a9b-92dd-ae49902317b3,疑似恶意流量,172.16.99.191,49174,10.185.159.32,443,tls
168,310a433e-5e55-435c-9dd9-b5267094922c,疑似恶意流量,172.16.98.248,55554,10.154.207.79,9001,tls
170,e1252420-13ad-4fd8-b0bb-c3bf6bec0c24,疑似恶意流量,172.16.98.248,55336,10.154.207.79,9001,tls
182,8d43d473-6dfd-4687-a212-91f93d346eab,疑似恶意流量,172.16.98.212,49218,10.54.176.188,4040,tls
214,262e0334-6cb0-4d89-94d8-8083f2dccc38,疑似恶意流量,172.16.98.154,49465,10.152.128.76,449,tls
215,6bbf2bff-19d8-49e5-bb69-623d6f29e969,疑似恶意流量,172.16.98.154,49454,10.152.128.76,449,tls
216,77015b94-bfdb-427e-9fa8-c148cc3bf2fb,疑似恶意流量,172.16.98.154,49444,10.152.128.76,449,tls
237,dc96d6f8-5547-466a-9aca-5906d2155727,疑似恶意流量,172.16.98.111,49297,10.127.93.35,443,tls
238,1fc24240-d4df-4956-bdf0-20884c8b8009,疑似恶意流量,172.16.98.111,49246,10.127.93.35,443,tls
239,de516ab1-7dd3-4d78-bcad-8314932f61d3,疑似恶意流量,172.16.98.111,49285,10.127.93.35,443,tls
240,fe341b87-641a-448e-be00-52606493c27b,疑似恶意流量,172.16.98.111,49301,10.127.93.35,443,tls
257,44baf1dd-cacf-45db-b11e-c35d6801cdfc,疑似恶意流量,172.16.97.61,49205,10.83.51.124,443,tls
258,462c8003-8c25-495c-94b9-95c8ac0e5d01,疑似恶意流量,172.16.97.61,49203,10.83.51.124,443,tls
259,e82df490-ea78-4cfd-be9a-1e9959369b57,疑似恶意流量,172.16.97.61,49211,10.83.51.124,443,tls
260,ca1e7cdf-32bf-4c3b-baa6-ad9ef05a5a59,疑似恶意流量,172.16.97.61,49226,10.83.51.124,443,tls
377,204cfe6a-c41f-43de-b600-70dd203b9dc7,疑似恶意流量,172.16.96.89,49355,10.53.74.150,443,tls
378,9817e9d0-12b0-4720-a18d-ea54636d5f2f,疑似恶意流量,172.16.96.89,49407,10.53.74.150,443,tls
379,5c8a88af-5644-4d37-8d30-d131961830ca,疑似恶意流量,172.16.96.89,49387,10.53.74.150,443,tls
380,09b60f71-9a8b-4fe9-8e90-271092c8bfb4,疑似恶意流量,172.16.96.89,49290,10.53.74.150,443,tls
381,744a08cb-bb5a-4d42-bfdb-58d7f29dc3a1,疑似恶意流量,172.16.96.89,49275,10.53.74.150,443,tls
382,09d80c89-d239-4bf4-bc79-a4a82358b717,疑似恶意流量,172.16.96.89,49430,10.53.74.150,443,tls
383,34b6dd8b-dd0b-44ce-ac15-019872124e6d,疑似恶意流量,172.16.96.89,49198,10.53.74.150,443,tls
384,0344254c-24a0-4d05-8698-da715f28048d,疑似恶意流量,172.16.96.89,49366,10.53.74.150,443,tls
385,992e79ce-6d7f-4ac5-814d-443fa7266b58,疑似恶意流量,172.16.96.89,49403,10.53.74.150,443,tls
386,95a242eb-53e6-4035-8411-a14ad22d910f,疑似恶意流量,172.16.96.89,49364,10.53.74.150,443,tls
387,f0095646-a76f-4360-bfd7-8c8748033b9f,疑似恶意流量,172.16.96.89,49383,10.53.74.150,443,tls
388,9c57ea8f-31d7-410b-837f-b9e594d09cba,疑似恶意流量,172.16.96.89,49273,10.53.74.150,443,tls
389,f4e857a8-464d-4c5e-a9b7-0dfdb6f923d4,疑似恶意流量,172.16.96.89,49190,10.53.74.150,443,tls
390,b31a70bd-2705-4b3e-a456-f39711b5e26d,疑似恶意流量,172.16.96.89,49213,10.53.74.150,443,tls
391,43a54991-be4a-4a76-b913-9c892a3f2a3b,疑似恶意流量,172.16.96.89,49304,10.53.74.150,443,tls
